Lot,Wafer,Mask,TestSite,Name,Date,Script ID,Scipt Version,Script Owner,Operator,Row,Column,ErrorFlag,Error description,Analysis Wavelength[nm],Rsq of Ref.spectrum(Nth),Max_transmission of Ref.spec.(dB),Rsq of IV,I at -1V[A],I at 1V[A]
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-191703,process LMZ,3.600000000000002,B1,ykim,-1,-1,0,No Error,1550,0.9984335298805634,-7.706903457641602,0.9999999,2.603237e-08,0.006701705
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-192309,process LMZ,3.600000000000002,B1,ykim,-1,-3,0,No Error,1550,0.9972272296091738,-8.910146713256836,0.9999999,4.890819e-08,0.006328398
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-202341,process LMZ,3.600000000000002,B1,ykim,-1,3,0,No Error,1550,0.9971718184704119,-9.376518249511719,0.9999999,4.591942e-08,0.006375596
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-195307,process LMZ,3.600000000000002,B1,ykim,-3,-3,0,No Error,1550,0.9961624633555451,-8.18753433227539,0.9999999,5.465495e-08,0.006316235
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-194108,process LMZ,3.600000000000002,B1,ykim,-3,0,0,No Error,1550,0.9981043967748445,-8.77216625213623,0.9999999,4.814727e-08,0.006532866
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-202959,process LMZ,3.600000000000002,B1,ykim,-3,2,0,No Error,1550,0.9988762153392877,-9.400176048278809,0.9999999,6.663287e-08,0.006519705
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-194708,process LMZ,3.600000000000002,B1,ykim,-4,-1,0,No Error,1550,0.9951088961825633,-9.466469764709473,0.9999999,7.783068e-08,0.006401758
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-195915,process LMZ,3.600000000000002,B1,ykim,0,-4,0,No Error,1550,0.9971876242581825,-9.5784330368042,0.9999999,6.760271e-08,0.006039913
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-191052,process LMZ,3.600000000000002,B1,ykim,0,0,0,No Error,1550,0.998587709572667,-7.655776023864746,0.9999999,8.955287e-09,0.006707282
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-193508,process LMZ,3.600000000000002,B1,ykim,0,2,0,No Error,1550,0.9973788647408577,-7.897572994232178,0.9999999,4.150557e-08,0.006591849
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-192908,process LMZ,3.600000000000002,B1,ykim,2,-1,0,No Error,1550,0.9983006639938224,-8.010892868041992,0.9999999,4.594612e-08,0.006384568
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-200520,process LMZ,3.600000000000002,B1,ykim,2,-3,0,No Error,1550,0.9982132150811757,-9.296346664428711,0.9999999,6.184592e-08,0.006069297
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-201718,process LMZ,3.600000000000002,B1,ykim,2,2,0,No Error,1550,0.9967826381005106,-8.184820175170898,0.9999999,4.804727e-08,0.006130083
HY202103,D07,LION1,DCM_LMZC,MZMCTE_LULAB_450_500,20190715-201119,process LMZ,3.600000000000002,B1,ykim,3,0,0,No Error,1550,0.9989505073200675,-8.617244720458984,0.9999999,4.971618e-08,0.005950628
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-092407,process LMZ,3.600000000000002,B1,magdzi83,-1,-1,0,No Error,1310,0.9989048985369684,-5.2746710777282715,0.9999999,5.312546e-08,0.006792969
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-095558,process LMZ,3.600000000000002,B1,magdzi83,-1,-3,0,No Error,1310,0.9994537531198446,-5.343724727630615,0.9999999,6.287032e-08,0.006482825
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-151522,process LMZ,3.600000000000002,B1,magdzi83,-1,3,0,No Error,1310,0.9993842627102443,-6.145711898803711,0.9999999,5.356805e-08,0.006656053
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-123544,process LMZ,3.600000000000002,B1,magdzi83,-3,-3,0,No Error,1310,0.9991630363994759,-5.836416721343994,0.9999999,6.76181e-08,0.006389174
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-113153,process LMZ,3.600000000000002,B1,magdzi83,-3,0,0,No Error,1310,0.9995127847776136,-5.431687831878662,0.9999999,3.847792e-08,0.006725123
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-154716,process LMZ,3.600000000000002,B1,magdzi83,-3,2,0,No Error,1310,0.9994680229998854,-6.433998107910156,0.9999999,5.937685e-08,0.006824251
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-120346,process LMZ,3.600000000000002,B1,magdzi83,-4,-1,0,No Error,1310,0.9990567382750948,-6.07033109664917,0.9999999,7.64046e-08,0.006439532
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-130736,process LMZ,3.600000000000002,B1,magdzi83,0,-4,0,No Error,1310,0.9994108794914749,-6.224576473236084,0.9999999,7.636219e-08,0.006464111
HY202103,D08,LION1,DCM_LMZO,MZMOTE_LULAB_380_500,20190526-085211,process LMZ,3.600000000000002,B1,magdzi83,0,0,0,No Error,1310,0.9986128528340783,-5.705437660217285,0.9999999,7.203803e-08,0.006919174
